Marca temporal,Número de cuenta,¿Cuántos días a la semana haces ejercicio? (0 o no respondas si es nulo),¿Dedicas tiempo a alguna actividad recreativa? (En caso afirmativo indica cual),¿Cuántas veces comes al día?,¿Tomas bebidas alcohólicas con regularidad?,¿Cuántas horas en promedio duermes?,"¿Trabajas? si si, ¿En que área?",¿Qué edad tienes?,Indica tu sexo,"¿Sufres de algún nivel de ansiedad? (Ninguno, Leve, Moderada, Grave)",¿Vives en casa propia o rentas?,¿Cuentas con alguna beca?,"¿Cuántas horas estas frente a una pantalla?(TV, Teléfono, PC, etc)",Indica un aproximado de tus ingresos mensuales(Personales/Familiares),¿Te sientes con energía la mayor parte del tiempo?,Indica tu promedio escolar,¿Eres alumno regular?,¿Recibes alguna ayuda psicológica?,¿Tienes pareja?,¿Alguien depende de ti económicamente?,Dias_ejercicio,Actividad_recreativa,Horas_sueno,Edad
10/7/2025 8:14:40,320212619,1,no,3-4,No,6-8,No,20,Masculino,Leve,Casa rentada,no,yo creo que más de 10,12000,No,7.86,No,No,No,No,1,No,6,20
10/7/2025 8:18:46,422091501,0,no,3,no,7,no,22,Masculino,ninguno,rento,no,9,15,no,8.1,no,no,si,no,0,No,7,22
10/7/2025 8:19:07,320241697,0,ya no,2,muy pocas veces,6,no,21,Masculino,Ninguno,Casa propia,Si,3,15000,no,9.5,Si,no. no recibo,sii,no,0,Sí,6,21
10/7/2025 8:20:34,320584622,6,no,4,no,6,no,21,masculina,leve,casa propia,no,6 horas,2800,si,7.8,no,no,no,no,6,No,6,21
10/7/2025 8:22:35,423072275,0,Baile,3,no,7,no,21,femenino,leve,propia,no,6,10000,no,9,si,no,no,no,0,Sí,7,21
10/7/2025 8:23:20,423008623,3,si manejar moto,2,nop,6,como repartidor,25,masculino,leve,con mis papas,si,2,10000,si,7.99,no,no,no,no,3,Sí,6,25
10/7/2025 8:24:22,319249473,3 o 4,No,3-4 veces al día,No,5-6 horas,No trabajo,22,Femenino ,Ninguno,Rento,No,Tal vez 8 horas,"3,000-4,000",No,7.6,Si,No,Si,No,3,No,5,22
10/7/2025 8:24:26,320246324,2,Sí. Practicar el piano,3,No tomo,6 horas,No trabajo,21,Masculino,Ninguno,Propia,No,6 horas,12 000,Algunas veces,9.22,No,No,No,No,2,Sí,6,21
10/7/2025 8:26:09,423093814,0,No,De 2 a 3 veces al día,No,6 horas,No,21 años,Masculino,Ninguna ,Casa propia,No de momento,10 horas,13,Sï,8.6,No,No,No,No,0,No,6,21
10/7/2025 8:26:22,317259913,Mi meta son 4 o 5 días a la semana,No,3 veces,No,4h ,"A veces, haciendo viajes de Uber",24 años,Hombre,Ninguno,Casa propia,No :(,De 2 a 3 horas,15k,No,7.5,No,No,No,No,4,No,4,24
10/7/2025 8:27:24,423058831,0,"sí, correr ",3,no,5,no,20,femenino ,moderada ,casa propia,si,5,15000,sí,9.27,si,no,no,no,0,Sí,5,20
10/7/2025 8:27:49,307042219,0,no,2,no,5,Sí. Tecnologías de la iformación,26,Masculino,Grave,casa propia,no,15,6000,no,7.1,Sí,no,no,no,0,No,5,26
10/7/2025 8:28:44,423122349,5,No realizo actividades recreativas. ,4 veces. ,No tomo. ,7 horas. ,No trabajo actualmente. ,21 años. ,Masculino. ,Leve. ,Propia. ,Si cuento. ,Unas 4 horas aprox. ,20000,siento que si. ,8.3,Si. ,No recibo ayuda. ,No tengo pareja. ,No hay nadie. ,5,Sí,7,21
10/7/2025 8:29:23,423112418,2,nadar,3,no ,6 -7,no ,21,femenino,Leve,casa propia,si ,4 hrs,"30, 000",mas o menos ,9.2,si ,no ,si ,no ,2,Sí,6,21
